opening_id,name,code,w1,b1,w2,b2,w3,b3,w4,b4,variation
46,Scotch Game,-,e4,e5,Nf3,Nc6,d4,exd4,Bc4,Nf6,"Scotch Gambit, Kingside Variation"
47,Scotch Game,-,e4,e5,Nf3,Nc6,d4,exd4,Bc4,Bb4+,"Scotch Gambit, London Defense"
48,Scotch Game,-,e4,e5,Nf3,Nc6,d4,exd4,Bc4,Bc5,"Scotch Gambit, Saratt Variation"
49,Semi-Slav Defense,-,d4,d5,c4,e6,Nc3,Nf6,Nf3,c6,Accelerated Meran Variation
50,Semi-Slav Defense,-,d4,d5,c4,e6,Nc3,Nf6,Nf3,c6,Accepted
51,Semi-Slav Defense,-,d4,d5,c4,e6,Nc3,c6,-,-,Acclerated Move Order
52,Semi-Slav Defense,-,d4,d5,c4,e6,Nc3,Nf6,Nf3,c6,Anti-Moscow Gambit
53,Semi-Slav Defense,-,d4,d5,c4,e6,Nc3,Nf6,Nf3,c6,Bogoljubow Variation
54,Semi-Slav Defense,-,d4,d5,c4,e6,Nc3,Nf6,Nf3,c6,Botvinnik System
55,Semi-Slav Defense,-,d4,d5,c4,e6,Nc3,Nf6,Nf3,c6,"Botvinnik System, Ekstrom Variation"
56,Semi-Slav Defense,-,d4,d5,c4,e6,Nc3,Nf6,Nf3,c6,"Botvinnik System, Lilienthal Variation"
57,Semi-Slav Defense,-,d4,d5,c4,e6,Nc3,Nf6,Nf3,c6,Botvinnik Variation
58,Semi-Slav Defense,-,d4,d5,c4,e6,Nc3,Nf6,Nf3,c6,Chigorin Defense
59,Semi-Slav Defense,-,d4,d5,c4,e6,Nc3,Nf6,Nf3,c6,General
60,Semi-Slav Defense,-,d4,d5,c4,e6,Nc3,Nf6,Nf3,c6,Main Lines 
61,Semi-Slav Defense,-,d4,d5,c4,e6,Nc3,Nf6,Nf3,c6,Main Lines
62,Semi-Slav Defense,-,d4,d5,c4,e6,Nc3,c6,e4,-,Marshall Gambit
63,Semi-Slav Defense,-,d4,d5,c4,e6,Nc3,c6,e4,dxe4,"Marshall Gambit, Forgotten Variation"
64,Semi-Slav Defense,-,d4,d5,c4,e6,Nc3,c6,e4,dxe4,"Marshall Gambit, Main Line"
65,Semi-Slav Defense,-,d4,d5,c4,e6,Nc3,Nf6,Nf3,c6,Meran Variation
66,Semi-Slav Defense,-,d4,d5,c4,e6,Nc3,Nf6,Nf3,c6,Meran Variation
67,Semi-Slav Defense,-,d4,d5,c4,e6,Nc3,Nf6,Nf3,c6,"Meran Variation, Blumenfeld Variation"
68,Semi-Slav Defense,-,d4,d5,c4,e6,Nc3,Nf6,Nf3,c6,"Meran Variation, Lundin Variation"
69,Semi-Slav Defense,-,d4,d5,c4,e6,Nc3,Nf6,Nf3,c6,"Meran Variation, Rabinovich Variation"
70,Semi-Slav Defense,-,d4,d5,c4,e6,Nc3,Nf6,Nf3,c6,"Meran Variation, Reynolds' Variation"
71,Semi-Slav Defense,-,d4,d5,c4,e6,Nc3,Nf6,Nf3,c6,Sozin Variation II
72,Semi-Slav Defense,-,d4,d5,c4,e6,Nc3,Nf6,Nf3,c6,"Meran Variation, Wade Variation"
73,Semi-Slav Defense,-,d4,d5,c4,e6,Nc3,Nf6,Nf3,c6,"Wade Variation, Kaidanov Gambit"
74,Semi-Slav Defense,-,d4,d5,c4,e6,Nc3,Nf6,Nf3,c6,"Meran Variation, Wade Variation, Larsen Variation"
75,Semi-Slav Defense,-,d4,d5,c4,e6,Nc3,Nf6,Nf3,c6,Normal Variation
76,Semi-Slav Defense,-,d4,d5,c4,e6,Nc3,c6,Nf3,dxc4,Noteboom Variation
77,Semi-Slav Defense,-,d4,d5,c4,e6,Nc3,c6,Nf3,dxc4,"Noteboom Variation, Abrahams Variation"
78,Semi-Slav Defense,-,d4,d5,Nf3,c6,c4,e6,Nc3,dxc4,"Noteboom Variation, Anti-Noteboom Gambit"
79,Semi-Slav Defense,-,d4,d5,c4,e6,Nf3,Nf6,e3,c6,Quiet Variation
80,Semi-Slav Defense,-,d4,d5,c4,e6,Nf3,Nf6,e3,c6,Quiet Variation
81,Semi-Slav Defense,-,d4,d5,c4,e6,Nc3,Nf6,Nf3,c6,Romih Variation
82,Semi-Slav Defense,-,d4,d5,c4,e6,Nc3,Nf6,Nf3,c6,Semi-Meran Variation
83,Semi-Slav Defense,-,d4,d5,c4,e6,Nc3,Nf6,Nf3,c6,Stoltz Variation
84,Semi-Slav Defense,-,d4,d5,c4,e6,Nc3,Nf6,Nf3,c6,"Stoltz Variation, Center Variation"
85,Semi-Slav Defense,-,d4,d5,c4,e6,Nc3,Nf6,Nf3,c6,"Stoltz Variation, Shabalov Attack"
86,Sicilian Defense,-,e4,c5,Nf3,Nc6,d4,cxd4,Nxd4,g6,"Accelerated Dragon, Exchange Variation"
87,Sicilian Defense,-,e4,c5,Nf3,Nc6,d4,cxd4,Nxd4,g6,"Accelerated Dragon, General"
88,Sicilian Defense,-,e4,c5,Nf3,Nc6,d4,cxd4,Nxd4,g6,"Accelerated Dragon, Maroczy Bind"
89,Sicilian Defense,-,e4,c5,Nf3,Nc6,d4,cxd4,Nxd4,g6,"Maroczy Bind, Breyer Variation"
90,Sicilian Defense,-,e4,c5,Nf3,Nc6,d4,cxd4,Nxd4,g6,"Maroczy Bind, General"
91,Sicilian Defense,-,e4,c5,Nf3,Nc6,d4,cxd4,Nxd4,g6,"Maroczy Bind, Gurgenidze Variation"
92,Sicilian Defense,-,e4,c5,Nf3,Nc6,d4,cxd4,Nxd4,g6,"Accelerated Dragon, Modern Bc4 Variation"
93,Sicilian Defense,-,e4,c5,Nf3,Nc6,d4,cxd4,Nxd4,g6,"Accelerated Dragon, Modern Variation"
94,Sicilian Defense,-,e4,c5,c3,d5,exd5,Qxd5,-,-,"Alapin Variation, Barmen Defense"
95,Sicilian Defense,-,e4,c5,c3,d5,exd5,Qxd5,d4,cxd4,"Barmen Defense, Central Exchange"
96,Sicilian Defense,-,e4,c5,c3,d5,exd5,Qxd5,d4,Nf6,"Barmen Defense, Modern Line"
97,Sicilian Defense,-,e4,c5,c3,-,-,-,-,-,"Alapin Variation, General"
98,Sicilian Defense,-,e4,c5,c3,Nf6,e5,Nd5,d4,e6,"Alapin Variation, Sherzer Variation"
99,Sicilian Defense,-,e4,c5,c3,Nf6,e5,Nd5,d4,cxd4,"Alapin Variation, Smith-Morra Declined"
100,Sicilian Defense,-,e4,c5,c3,Nf6,e5,Nd5,Nf3,Nc6,"Alapin Variation, Stoltz Attack"
101,Sicilian Defense,-,e4,c5,c3,Nf6,e5,Nd5,Nf3,Nc6,"Stoltz Attack, Ivanchuk Line"
102,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,Boleslavsky Variation
103,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Boleslavsky Variation, General Variation"
104,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Boleslavsky Variation, Louma Variation"
105,Sicilian Defense,-,e4,c5,Bc4,-,-,-,-,-,Bowlder Attack
106,Sicilian Defense,-,e4,c5,Nf3,d6,Bb5+,-,-,-,Canal Attack
107,Sicilian Defense,-,e4,c5,Nf3,d6,Bb5+,Bd7,Bxd7+,Qxd7,"Canal Attack, Haag Gambit"
108,Sicilian Defense,-,e4,c5,Nf3,d6,Bb5+,Nc6,O-O,Bd7,"Canal Attack, Moscow Gambit"
109,Sicilian Defense,-,e4,c5,Nf3,d6,Bb5+,Bd7,-,-,"Canal Attack, Main Line"
110,Sicilian Defense,-,e4,c5,Ne2,-,-,-,-,-,Chameleon
111,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Qxd4,-,Chekhover Variation
112,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Qxd4,Nc6,"Chekhover Variation, Zaitsev Defense"
113,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,Classical Variation
114,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Classical Variation, Anti-Sozin Variation"
115,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Classical Variation, Fianchetto Variation"
116,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Classical Variation, General"
117,Sicilian Defense,-,e4,c5,Nc3,Nc6,Nf3,e5,Bc4,d6,"Anti-Sveshnikov Variation,Kharlov-Kramnik Line"
118,Sicilian Defense,-,e4,c5,Nc3,Nc6,g3,g6,Bg2,Bg7,Closed Variation
119,Sicilian Defense,-,e4,c5,Nc3,Nc6,g3,g6,Bg2,Bg7,Closed Variation2
120,Sicilian Defense,-,e4,c5,Nc3,Nc6,g3,g6,Bg2,Bg7,"Closed Variation, Botvinnik Defense I"
121,Sicilian Defense,-,e4,c5,Nc3,Nc6,g3,g6,Bg2,Bg7,"Botvinnik Defense I, Edge Variation"
122,Sicilian Defense,-,e4,c5,Nc3,Nc6,g3,g6,Bg2,Bg7,"Closed Variation, Botvinnik Defense II"
123,Sicilian Defense,-,e4,c5,Nc3,Nc6,Nge2,-,-,-,"Closed Variation, Chameleon Variation"
124,Sicilian Defense,-,e4,c5,Nc3,Nc6,g3,-,-,-,"Closed Variation, Fianchetto Variation"
125,Sicilian Defense,-,e4,c5,Nc3,e6,g3,d5,-,-,"Closed Variation, Korchnoi Defense"
126,Sicilian Defense,-,e4,c5,Nc3,Nc6,-,-,-,-,"Closed Variation, Traditional"
127,Sicilian Defense,-,e4,c5,Nf3,e6,c3,-,-,-,Delayed Alapin Variation
128,Sicilian Defense,-,e4,c5,Nf3,d6,c3,Nf6,Be2,Nc6,"Delayed Alapin, Basman-Palatnik Double Gambit"
129,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Dragon Variation, Classical Variation"
130,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Dragon Variation, Classical Variation2"
131,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Dragon Variation, Classical Variation3"
132,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Dragon Variation, Classical Variation4"
133,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Dragon Variation, Alekhine Line"
134,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Dragon Variation, Battery Variation "
135,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Dragon Variation, General"
136,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Dragon Variation, Maroczy Line"
137,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Dragon Variation, Normal Line"
138,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Dragon Variation, Tartakower Line"
139,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Dragon Variation, Fianchetto Variation"
140,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Dragon Variation, General"
141,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Dragon Variation, Levenfish Variation"
142,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Levenfish Variation, Main Line"
143,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,g6,"Dragon Variation, Modern Bc4 Variation"
144,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Dragon Variation, Yugoslav Attack"
145,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Dragon Variation, Yugoslav Attack 2"
146,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Dragon Variation, Yugoslav Attack3"
147,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Dragon Variation, Yugoslav Attack4"
148,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Yugoslav Attack, Belezky Line"
149,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Yugoslav Attack, Czerniak Variation"
150,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Yugoslav Attack, Early deviations"
151,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Yugoslav Attack, Main Line"
152,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Yugoslav Attack, Modern Line"
153,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Yugoslav Attack, Old Line"
154,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Yugoslav Attack, Panov Variation"
155,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Yugoslav Attack, Sosonko Variation"
156,Sicilian Defense,-,e4,c5,Nf3,Nc6,d4,cxd4,Nxd4,Qc7,Flohr Variation
157,Sicilian Defense,-,e4,c5,Nf3,e6,d4,cxd4,Nxd4,Nf6,Four Knights Variation
158,Sicilian Defense,-,e4,c5,Nf3,e6,d4,cxd4,Nxd4,Nf6,"Four Knights Variation, Cobra Variation"
159,Sicilian Defense,-,e4,c5,Nf3,e6,d4,cxd4,Nxd4,Nf6,"Four Knights Variation, Exchange Variation"
160,Sicilian Defense,-,e4,c5,Nf3,e6,-,-,-,-,French Variation 
161,Sicilian Defense,-,e4,c5,Nf3,e6,d4,cxd4,Nxd4,Nf6,"French Variation, Normal"
162,Sicilian Defense,-,e4,c5,Nf3,e6,d4,cxd4,-,-,"French Variation, Open"
163,Sicilian Defense,-,e4,c5,Nf3,e6,b3,-,-,-,"French Variation, Westerinen Attack "
164,Sicilian Defense,-,e4,c5,Nf3,e6,d4,cxd4,Nxd4,Nf6,Gaw-Paw Variation
165,Sicilian Defense,-,e4,c5,Nf3,Nc6,d4,cxd4,Nxd4,Qb6,Godiva Variation
166,Sicilian Defense,-,e4,c5,Nc3,Nc6,f4,-,-,-,Grand Prix Attack
167,Sicilian Defense,-,e4,c5,Nc3,Nc6,f4,g6,Nf3,Bg7,"Grand Prix Attack, Schofman Variation"
168,Sicilian Defense,-,e4,c5,Nf3,g6,-,-,-,-,Hyperaccelerated Dragon
169,Sicilian Defense,-,e4,c5,Nf3,g6,d4,-,-,-,Hyperaccelerated Fianchetto
170,Sicilian Defense,-,e4,c5,Nf3,g6,d4,Bg7,-,-,Hyperaccelerated Pterodactyl
171,Sicilian Defense,-,e4,c5,Nf3,Nc6,d4,cxd4,Nxd4,e5,Kalashnikov Variation
172,Sicilian Defense,-,e4,c5,Nf3,e6,d4,cxd4,Nxd4,a6,Kan Variation
173,Sicilian Defense,-,e4,c5,Nf3,e6,d4,cxd4,Nxd4,a6,"Kan Variation, Knight Variation"
174,Sicilian Defense,-,e4,c5,Nf3,e6,d4,cxd4,Nxd4,a6,"Maroczy Bind, Bronstein Variation"
175,Sicilian Defense,-,e4,c5,Nf3,e6,d4,cxd4,Nxd4,a6,"Maroczy Bind, Reti Variation"
176,Sicilian Defense,-,e4,c5,Nf3,e6,d4,cxd4,Nxd4,a6,"Kan Variation, Modern Variation"
177,Sicilian Defense,-,e4,c5,Nf3,e6,d4,cxd4,Nxd4,a6,"Kan Variation, Polugaevsky Variation"
178,Sicilian Defense,-,e4,c5,Nf3,e6,d4,cxd4,Nxd4,a6,"Kan Variation, Swiss Cheese Variation"
179,Sicilian Defense,-,e4,c5,Nf3,e6,d4,cxd4,Nxd4,a6,"Kan Variation, Wing Attack"
180,Sicilian Defense,-,e4,c5,Nf3,e6,d4,cxd4,Nxd4,a6,"Wing Attack, Fianchetto Variation"
181,Sicilian Defense,-,e4,c5,Nf3,e6,d4,cxd4,Nxd4,a6,"Wing Attack, Spraggett Attack"
182,Sicilian Defense,-,e4,c5,Nf3,b6,-,-,-,-,Katalimov Variation
183,Sicilian Defense,-,e4,c5,Nf3,e6,c4,-,-,-,Kramnik Variation
184,Sicilian Defense,-,e4,c5,Na3,-,-,-,-,-,Kronberger Variation
185,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,Kupreichik Variation
186,Sicilian Defense,-,e4,c5,Nf3,e6,d4,cxd4,Nxd4,Qb6,Kveinis Variation
187,Sicilian Defense,-,e4,c5,g3,-,-,-,-,-,Lasker-Dunne Attack
188,Sicilian Defense,-,e4,c5,Nf3,Nc6,d4,cxd4,Nxd4,Nf6,"lasker-Pelikan Variation, Bird Variation"
189,Sicilian Defense,-,e4,c5,Nf3,Nc6,d4,cxd4,Nxd4,Nf6,"Lasker-Pelikan Variation, Exchange Variation"
190,Sicilian Defense,-,e4,c5,Nf3,Nc6,d4,cxd4,Nxd4,Nf6,"Lasker-Pelikan Variation, General"
191,Sicilian Defense,-,e4,c5,Nf3,Nc6,d4,cxd4,Nxd4,Nf6,"Lasker-Pelikan Variation, Retreat Variation"
192,Sicilian Defense,-,e4,c5,Nf3,Nc6,d4,cxd4,Nxd4,Nf6,"Lasker-Pelikan Variation, Schlechter Variation"
193,Sicilian Defense,-,e4,c5,Nf3,Nc6,d4,cxd4,Nxd4,Nf6,"Lasker-Pelikan Variation, Sveshnikov Variation"
194,Sicilian Defense,-,e4,c5,Nf3,Nc6,d4,cxd4,Nxd4,Nf6,"Lasker-Pelikan Variation,Novosibirsk Variation"
195,Sicilian Defense,-,e4,c5,Nf3,Nc6,d4,cxd4,Nxd4,Nf6,"Lasker-Pelikan Variation,Peresypkin's Sacrifice"
196,Sicilian Defense,-,e4,c5,Nf3,Nc6,d4,cxd4,Nxd4,e5,L?wenthal Variation
197,Sicilian Defense,-,e4,c5,Nf3,e6,d4,d5,-,-,Marshall Counterattack
198,Sicilian Defense,-,e4,c5,f4,-,-,-,-,-,McDonnell Attack
199,Sicilian Defense,-,e4,c5,f4,d5,exd5,Nf6,-,-,"McDonnell Attack, Tal Gambit"
200,Sicilian Defense,-,e4,c5,a3,-,-,-,-,-,Mengarini Variation
201,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,-,Modern Variations
202,Sicilian Defense,-,e4,c5,Nf3,d6,d4,Nf6,-,-,"Modern Variations, Anti-Qxd4 Move Order"
203,Sicilian Defense,-,e4,c5,Nf3,d6,d4,Nf6,dxc5,Nxe4,"Anti-Qxd4 Move Order, Accepted"
204,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Modern Variations, Main Line"
205,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,c3,-,"Modern Variations, Tartakower"
206,Sicilian Defense,-,e4,c5,d4,cxd4,Nf3,-,-,-,Morphy Gambit
207,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,Najdorf Variation
208,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,Najdorf Variation2
209,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,Najdorf Variation3
210,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,Najdorf Variation4
211,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,Najdorf Variation5
212,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Najdorf Variation, Adams Attack"
213,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Najdorf Variation, Amsterdam Variation"
214,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Najdorf Variation, Browne Variation "
215,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Najdorf Variation, English Attack "
216,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Najdorf Variation, Anti-English"
217,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Najdorf Variation, Freak Attack"
218,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Najdorf Variation, Goteborg (Argentine)"
219,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Najdorf Variation, Main Line"
220,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Najdorf Variation, Neo-Classical Defense"
221,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Najdorf Variation, Opocensky Variation"
222,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Najdorf Variation, Opocensky Variation"
223,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Opocensky Variation, Traditional"
224,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Najdorf Variation, Poisoned Pawn Variation"
225,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Poisoned Pawn, Accepted"
226,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Najdorf Variation, Polugayevsky Variation"
227,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Polugayevsky Variation, Simagin"
228,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Najdorf Variation, Scheveningen Variation"
229,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Najdorf Variation, Traditional Line"
230,Sicilian Defense,-,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,"Najdorf Variation, Zagreb Variation"
231,Sicilian Defense,-,e4,c5,Nf3,Nc6,d4,cxd4,Nxd4,d5,Nimzo-American Variation
232,Sicilian Defense,-,e4,c5,Nf3,Nf6,e5,-,-,-,"Nimzowitsch Variation, Advance Variation"
233,Sicilian Defense,-,e4,c5,Nf3,Nf6,Nc3,-,-,-,"Nimzowitsch Variation, Closed Variation"
234,Sicilian Defense,-,e4,c5,Nf3,Nf6,e5,Nd5,Nc3,Nxc3,"Nimzowitsch Variation, Exchange Variation"
235,Sicilian Defense,-,e4,c5,Nf3,Nf6,e5,Nd5,Nc3,e6,"Nimzowitsch Variation, Main Line"
236,Sicilian Defense,-,e4,c5,Nf3,Nf6,-,-,-,-,"Nimzowitsch Variation, General"
237,Sicilian Defense,-,e4,c5,Nf3,Nc6,Bb5,-,-,-,Nyezhmetdinov-Rossolimo Attack
238,Sicilian Defense,-,e4,c5,Nf3,Nc6,Bb5,g6,-,-,"Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation"
239,Sicilian Defense,-,e4,c5,Nf3,Nc6,Bb5,g6,O-O,Bg7,"Nyezhmetdinov-Rossolimo Attack,Lutikov Gambit "
240,Sicilian Defense,-,e4,c5,Nf3,Nc6,Bb5,g6,O-O,Bg7,"Nyezhmetdinov-Rossolimo Attack,Totsky Attack "
241,Sicilian Defense,-,e4,c5,Nf3,Nc6,Bb5,g6,O-O,Bg7,"Nyezhmetdinov-Rossolimo Attack, Gurgenidze Variation"
242,Sicilian Defense,-,e4,c5,Nf3,a6,c4,-,-,-,"O'Kelly Variation, Maroczy Bind"
