GameId,TeamId,PlayerId,Minutes,FieldGoalsMade,FieldGoalAttempts,3PointsMade,3PointAttempts,FreeThrowsMade,FreeThrowAttempts,PlusMinus,OffensiveRebounds,DefensiveRebounds,TotalRebounds,Assists,PersonalFouls,Steals,Turnovers,BlockedShots,BlocksAgainst,Points,Starter
2,10,121,973,2,5,3,3,0,0,-8,1,1,2,0,2,0,1,0,0,5,0
2,10,122,1029,2,3,3,3,0,0,-6,0,3,3,1,2,0,1,0,0,5,0
2,10,123,1766,4,8,3,3,0,0,4,0,0,0,6,1,1,2,0,0,10,0
2,10,124,984,3,4,3,3,2,4,0,1,2,3,0,6,1,1,1,0,8,0
2,10,125,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,10,126,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,10,127,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,10,128,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,129,2388,7,18,3,3,7,8,13,3,2,5,5,2,0,3,0,1,22,1
3,11,130,1388,1,1,3,3,1,2,13,2,10,12,0,5,1,3,0,0,3,1
3,11,131,2246,13,18,3,3,9,12,23,3,11,14,3,3,1,3,2,3,35,1
3,11,132,2302,5,11,3,3,3,4,15,2,3,5,1,1,0,4,1,0,14,1
3,11,133,2636,9,19,3,3,3,5,12,0,2,2,10,3,2,1,0,2,22,1
3,11,134,1017,1,6,3,3,0,0,-15,0,1,1,1,1,2,0,0,0,2,0
3,11,135,538,1,2,3,3,0,0,-15,0,0,0,0,0,0,1,0,1,2,0
3,11,136,253,1,3,3,3,0,0,-9,1,0,1,0,1,0,0,0,1,2,0
3,11,137,554,0,2,3,3,0,0,-10,0,2,2,0,2,0,2,0,2,0,0
3,11,138,1080,0,0,3,3,0,0,-2,4,1,5,0,1,1,1,0,0,0,0
3,11,139,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,140,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,141,1149,1,1,3,3,2,2,-14,0,2,2,0,2,3,0,0,0,4,1
3,12,142,2261,5,13,3,3,12,14,-20,2,6,8,4,3,2,1,4,0,22,1
3,12,143,829,1,1,3,3,2,3,-14,0,0,0,0,4,0,0,0,0,4,1
3,12,144,1535,7,15,3,3,1,2,-16,0,2,2,4,3,2,4,0,1,15,1
3,12,145,1313,4,12,3,3,0,0,-15,0,1,1,2,1,0,1,0,1,9,1
3,12,146,1730,3,4,3,3,0,0,12,0,3,3,1,2,1,1,1,0,6,0
3,12,147,500,0,3,3,3,0,0,-7,1,0,1,0,4,0,1,0,0,0,0
3,12,148,1430,2,5,3,3,2,4,9,0,1,1,9,3,0,3,0,1,6,0
3,12,149,1695,9,13,3,3,1,1,14,0,3,3,1,1,2,0,0,0,23,0
3,12,150,1686,4,4,3,3,0,0,19,0,7,7,1,3,1,2,5,0,8,0
3,12,151,272,0,2,3,3,0,0,7,0,2,2,0,0,0,0,0,0,0,0
3,12,152,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,153,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,13,154,2056,7,14,3,3,2,2,16,1,5,6,3,3,2,1,0,2,19,1
4,13,155,2129,6,10,3,3,2,2,17,0,4,4,3,4,0,1,0,0,16,1
4,13,156,2408,4,6,3,3,3,8,14,10,14,24,0,2,0,5,4,0,11,1
4,13,157,2602,9,17,3,3,8,8,15,1,2,3,7,1,1,6,0,1,28,1
4,13,158,2281,6,16,3,3,8,8,16,1,6,7,9,4,3,3,0,1,22,1
4,13,159,691,2,5,3,3,0,0,-4,0,2,2,0,0,0,0,0,0,6,0
4,13,160,877,3,9,3,3,0,0,-11,0,0,0,1,3,0,1,0,0,6,0
4,13,161,824,1,5,3,3,0,0,-6,0,2,2,0,1,1,1,0,0,3,0
4,13,162,318,0,0,3,3,1,2,-2,0,1,1,0,0,1,0,0,0,1,0
4,13,163,214,0,0,3,3,2,2,-5,0,0,0,0,0,0,0,0,0,2,0
4,13,164,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,13,165,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,13,166,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,14,167,1246,4,8,3,3,0,0,-22,0,1,1,1,1,1,1,2,0,9,1
4,14,168,1762,8,21,3,3,2,3,-30,5,8,13,4,1,1,4,0,0,20,1
4,14,170,1816,4,14,3,3,2,2,-21,0,2,2,0,2,0,0,0,0,12,1
4,14,171,1659,1,6,3,3,0,0,-32,1,1,2,7,1,1,5,0,0,3,1
4,14,172,1162,4,4,3,3,6,6,-4,3,1,4,3,4,3,1,1,0,14,0
4,14,173,1462,2,10,3,3,0,0,19,0,3,3,8,5,0,2,0,1,4,0
4,14,174,1144,4,8,3,3,0,0,5,3,3,6,2,1,0,2,0,0,8,0
4,14,175,1634,5,8,3,3,1,1,12,0,5,5,1,2,2,1,1,1,12,0
4,14,176,1382,4,8,3,3,0,0,16,0,2,2,3,3,1,1,0,1,11,0
4,14,177,720,5,6,3,3,1,2,12,0,3,3,1,2,0,0,0,0,11,0
4,14,178,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,14,179,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,14,392,413,0,3,3,3,0,0,-5,0,1,1,0,1,0,0,0,1,0,1
5,15,180,2380,4,13,3,3,0,0,-12,0,2,2,1,4,2,4,0,0,9,1
5,15,181,1888,7,10,3,3,4,4,-6,3,6,9,3,1,0,2,4,0,18,1
5,15,182,1523,5,7,3,3,1,2,-29,1,2,3,1,2,1,2,0,1,11,1
5,15,183,824,0,5,3,3,1,1,-6,0,2,2,3,0,0,0,0,1,1,1
5,15,184,1980,6,14,3,3,2,2,-20,0,2,2,5,1,1,1,0,0,18,1
5,15,185,1194,1,6,3,3,0,0,-3,1,5,6,1,2,0,1,0,0,2,0
5,15,186,2105,1,7,3,3,3,4,0,1,1,2,0,1,2,0,0,0,5,0
5,15,187,1132,4,8,3,3,0,2,-2,1,1,2,3,2,4,2,0,0,9,0
5,15,188,1098,3,6,3,3,0,0,10,4,3,7,0,2,0,4,0,1,7,0
5,15,189,276,0,1,3,3,0,0,-2,1,1,2,0,0,0,0,0,0,0,0
5,15,190,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,15,191,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,16,192,2329,7,12,3,3,5,5,11,0,3,3,3,2,0,3,0,0,22,1
5,16,193,1440,7,12,3,3,2,2,4,3,4,7,1,3,0,1,0,0,16,1
5,16,194,2339,9,19,3,3,1,1,26,4,7,11,5,2,2,3,2,3,19,1
5,16,195,2547,8,13,3,3,2,2,9,1,3,4,4,1,1,0,0,1,18,1
5,16,196,1641,0,6,3,3,1,2,11,0,3,3,3,1,4,1,1,0,1,1
5,16,197,1833,1,9,3,3,2,2,11,0,1,1,11,2,0,1,0,0,4,0
5,16,198,1705,6,9,3,3,2,2,5,3,8,11,0,4,1,3,0,0,14,0
5,16,199,276,0,0,3,3,0,0,-7,0,0,0,0,0,0,0,0,0,0,0
5,16,200,290,0,0,3,3,0,0,0,0,0,0,1,1,1,1,0,0,0,0
5,16,201,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,16,202,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,16,203,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,17,204,1443,1,6,3,3,0,0,-12,0,6,6,0,1,0,0,0,0,2,1
6,17,205,1430,2,3,3,3,0,2,-10,1,5,6,1,4,0,1,0,0,4,1
6,17,206,1949,7,9,3,3,0,0,-13,2,8,10,0,4,1,2,0,0,14,1
6,17,207,2357,8,14,3,3,0,1,-8,0,2,2,7,3,2,2,0,0,16,1
6,17,208,1553,4,11,3,3,2,3,-19,1,0,1,4,2,0,5,0,0,11,1
6,17,209,488,1,4,3,3,0,0,-3,1,0,1,0,3,0,0,0,0,2,0
6,17,210,1544,4,6,3,3,1,1,3,0,2,2,0,3,2,0,0,0,13,0
6,17,211,1129,1,3,3,3,0,0,6,0,0,0,3,2,1,0,0,0,2,0
6,17,212,1388,6,11,3,3,2,3,6,0,0,0,1,3,0,4,0,2,17,0
6,17,213,349,0,0,3,3,0,0,3,0,1,1,0,0,0,0,0,0,0,0
6,17,214,633,1,3,3,3,0,0,2,0,1,1,1,0,1,0,1,0,2,0
6,17,215,137,0,0,3,3,0,0,-5,0,0,0,0,0,0,0,0,0,0,0
6,17,216,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,18,217,2333,11,20,3,3,9,11,22,0,7,7,8,2,1,6,0,0,32,1
6,18,218,997,1,3,3,3,0,0,2,1,4,5,1,0,1,0,0,0,2,1
6,18,219,2057,8,16,3,3,2,3,27,1,3,4,2,0,1,1,0,0,18,1
6,18,220,1448,2,4,3,3,0,0,10,0,3,3,0,4,0,1,0,0,5,1
6,18,221,2190,4,8,3,3,1,1,9,0,3,3,4,1,0,0,0,0,12,1
6,18,222,1170,1,4,3,3,0,0,-5,1,2,3,2,2,1,1,0,0,2,0
6,18,223,1211,0,1,3,3,1,2,-6,0,0,0,2,1,1,3,0,0,1,0
6,18,224,1482,2,5,3,3,2,2,-5,0,4,4,0,1,0,2,0,1,8,0
6,18,225,1512,5,5,3,3,3,3,-4,3,4,7,0,3,0,1,2,0,13,0
6,18,226,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,18,227,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,18,228,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,18,229,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,19,230,1906,6,16,3,3,0,0,-15,0,1,1,1,3,2,2,1,0,14,1
7,19,231,1612,7,13,3,3,2,2,-10,4,4,8,1,2,0,1,0,3,16,1
7,19,232,2094,6,13,3,3,0,0,-3,7,6,13,6,2,0,3,3,1,12,1
7,19,233,2620,5,10,3,3,9,11,-6,2,3,5,11,3,1,3,0,0,20,1
7,19,234,2286,7,21,3,3,11,14,-9,3,6,9,7,3,0,0,0,1,25,1
7,19,235,1828,4,6,3,3,4,5,15,0,5,5,2,0,1,1,1,0,14,0
7,19,236,1043,3,8,3,3,1,2,1,1,4,5,0,4,1,2,0,0,7,0
7,19,237,1011,1,1,3,3,1,2,2,1,3,4,0,3,0,1,0,0,3,0
7,19,238,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,19,239,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,19,240,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,19,241,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,19,242,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,20,243,1775,11,19,3,3,2,3,-1,0,1,1,3,4,1,3,1,0,26,1
7,20,244,2370,12,21,3,3,4,6,19,4,10,14,1,1,0,1,2,0,28,1
7,20,245,1692,5,9,3,3,0,0,23,8,8,16,0,4,2,2,0,2,10,1
7,20,246,1704,5,10,3,3,2,2,2,3,2,5,2,3,0,2,1,1,14,1
7,20,247,2306,7,17,3,3,1,3,6,1,2,3,13,5,1,1,0,1,20,1
7,20,248,1215,2,5,3,3,0,1,3,0,0,0,0,1,0,2,0,0,4,0
7,20,249,681,0,4,3,3,0,0,-3,3,4,7,1,3,0,0,0,0,0,0
7,20,250,807,1,4,3,3,0,0,-12,0,1,1,0,1,0,0,0,1,2,0
7,20,251,1397,3,6,3,3,6,6,-1,0,2,2,8,3,1,0,0,0,12,0
7,20,252,452,0,2,3,3,0,0,-11,0,1,1,0,1,0,0,1,0,0,0
7,20,253,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,20,254,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,20,255,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,21,256,1493,2,3,3,3,0,1,-4,0,3,3,2,3,0,1,0,0,5,1
8,21,257,2130,7,10,3,3,4,4,-11,0,3,3,4,5,4,3,3,0,23,1
8,21,258,1617,3,8,3,3,2,3,11,2,3,5,2,3,1,1,0,0,8,1
8,21,259,2074,8,16,3,3,0,0,-3,0,3,3,4,2,0,3,0,0,19,1
8,21,260,2028,7,14,3,3,2,2,1,1,8,9,9,3,3,3,0,0,16,1
8,21,261,1078,3,8,3,3,0,0,-7,0,1,1,3,4,0,5,0,0,6,0
8,21,262,1239,2,3,3,3,1,7,-16,1,8,9,0,1,0,2,3,0,5,0
8,21,263,1148,3,8,3,3,3,3,-5,2,2,4,1,2,1,0,0,0,10,0
8,21,264,852,0,5,3,3,0,0,-9,0,0,0,0,2,1,1,0,0,0,0
8,21,265,742,1,2,3,3,0,0,3,0,3,3,0,2,1,1,0,0,3,0
8,21,266,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,21,267,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,22,268,1727,4,9,3,3,0,0,9,2,3,5,4,2,2,1,0,0,9,1
8,22,269,2156,9,15,3,3,9,13,9,5,12,17,4,1,3,3,0,1,28,1
8,22,270,1270,1,8,3,3,0,0,-10,2,2,4,2,4,0,1,0,2,2,1
8,22,271,1611,3,10,3,3,4,5,-11,0,2,2,2,2,0,3,0,0,11,1
8,22,272,2006,4,11,3,3,3,3,15,1,2,3,5,0,1,4,0,2,12,1
8,22,273,1494,7,12,3,3,6,6,23,1,4,5,5,1,1,1,0,0,22,0
8,22,274,1313,2,5,3,3,0,0,19,1,3,4,1,4,0,0,0,0,4,0
8,22,275,855,2,6,3,3,2,3,4,0,4,4,0,1,1,1,0,1,6,0
8,22,276,874,2,5,3,3,0,0,-7,0,1,1,2,0,2,1,0,0,4,0
8,22,277,265,1,2,3,3,0,0,-3,0,2,2,0,1,0,1,0,0,2,0
8,22,278,828,1,1,3,3,0,0,-8,1,1,2,0,1,0,0,0,0,3,0
8,22,279,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,23,280,1795,4,9,3,3,0,0,-22,0,2,2,1,1,0,1,0,0,11,1
9,23,281,1188,2,5,3,3,0,0,-11,1,1,2,1,1,2,0,1,1,4,1
9,23,282,1616,3,7,3,3,0,0,-21,2,9,11,1,3,0,1,1,1,6,1
9,23,283,2392,8,12,3,3,2,3,0,0,2,2,5,3,0,4,1,0,20,1
9,23,284,1756,4,16,3,3,2,3,-24,0,1,1,6,2,0,5,0,2,10,1
9,23,285,1633,5,12,3,3,2,2,0,4,4,8,2,5,2,0,0,1,12,0
9,23,286,1600,5,7,3,3,2,2,10,0,2,2,1,2,0,1,0,0,14,0
9,23,287,1238,4,5,3,3,1,3,15,0,5,5,0,3,1,1,0,0,11,0
9,23,288,1124,2,5,3,3,0,0,18,1,2,3,9,1,1,1,0,0,4,0
9,23,289,59,1,1,3,3,0,0,5,1,0,1,0,0,0,0,0,0,2,0
9,23,290,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,23,291,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,23,292,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,24,293,1250,0,5,3,3,3,4,2,3,3,6,0,2,1,1,0,1,3,1
9,24,294,1633,1,2,3,3,0,0,-3,3,2,5,1,1,0,0,1,0,2,1
9,24,295,2403,8,19,3,3,3,3,-2,3,8,11,0,3,0,0,2,1,19,1
9,24,296,1625,3,7,3,3,3,4,-1,0,3,3,2,2,1,1,0,0,9,1
9,24,297,2292,6,22,3,3,9,10,16,1,4,5,10,2,1,1,1,1,21,1
9,24,298,1220,4,4,3,3,7,8,9,3,5,8,2,1,1,1,0,0,15,0
9,24,299,477,2,2,3,3,0,0,8,0,0,0,0,0,1,0,1,0,4,0
9,24,300,1255,3,6,3,3,2,2,7,1,5,6,1,2,1,3,0,0,9,0
9,24,301,588,0,2,3,3,0,0,-10,0,1,1,1,1,0,2,0,0,0,0
9,24,302,1657,7,9,3,3,2,3,4,1,2,3,0,1,0,1,0,0,18,0
9,24,303,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,24,304,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,24,305,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,1,2134,6,13,3,3,0,0,18,2,3,5,7,2,2,1,0,0,16,1
10,1,2,1952,12,20,3,3,7,8,27,1,14,15,6,2,1,2,2,1,31,1
10,1,3,2043,4,5,3,3,2,2,21,3,7,10,1,2,0,0,2,0,10,1
10,1,4,1952,4,12,3,3,0,0,17,0,4,4,6,1,0,1,1,0,10,1
10,1,5,2130,10,22,3,3,9,9,24,0,2,2,8,3,3,2,0,3,34,1
10,1,6,1077,3,7,3,3,1,2,-13,3,3,6,0,2,3,1,0,3,7,0
10,1,7,1490,3,11,3,3,0,0,2,0,1,1,3,4,1,0,0,1,8,0
10,1,8,676,4,7,3,3,0,0,-13,2,3,5,1,1,0,2,0,1,8,0
10,1,9,559,0,0,3,3,0,0,-5,0,1,1,0,0,0,0,0,0,0,0
10,1,10,129,0,0,3,3,0,0,-6,0,1,1,0,0,0,1,0,0,0,0
10,1,11,129,0,2,3,3,0,0,-6,0,0,0,0,0,0,0,0,1,0,0
10,1,12,92,0,0,3,3,0,0,-4,0,0,0,0,1,0,0,0,0,0,0
10,1,13,37,0,0,3,3,0,0,-2,0,0,0,0,0,0,0,0,0,0,0
10,2,14,1821,6,10,3,3,3,4,-20,0,4,4,1,2,2,1,0,0,17,1
10,2,15,1700,4,9,3,3,1,1,-18,1,3,4,7,4,1,3,2,2,9,1
10,2,16,1744,6,16,3,3,0,0,-19,1,5,6,2,2,1,2,3,0,12,1
10,2,17,1597,2,7,3,3,0,0,-20,0,2,2,2,0,0,1,0,0,4,1
10,2,18,1155,2,4,3,3,2,2,-14,0,6,6,5,3,1,1,0,0,8,1
10,2,19,1308,2,5,3,3,6,6,8,0,4,4,10,1,0,1,1,1,10,0
10,2,20,788,0,4,3,3,0,0,7,0,0,0,0,1,0,0,0,1,0,0
10,2,21,1108,1,3,3,3,1,2,5,1,5,6,1,0,0,0,2,0,3,0
10,2,22,1208,3,8,3,3,2,2,8,4,5,9,2,3,0,1,2,0,9,0
10,2,23,1971,15,26,3,3,4,5,3,2,2,4,1,0,2,1,0,1,40,0
10,2,24,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,25,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,26,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,27,2437,7,9,3,3,0,1,5,2,6,8,7,0,1,0,0,0,16,1
11,3,28,2525,4,9,3,3,0,0,12,1,6,7,6,3,2,2,1,1,9,1
11,3,29,1994,9,12,3,3,2,4,-2,4,4,8,0,1,0,1,1,1,20,1
11,3,30,2830,11,24,3,3,1,1,6,0,5,5,5,3,1,2,0,2,27,1
11,3,31,2587,10,17,3,3,0,0,8,0,5,5,5,3,1,2,0,2,27,1
11,3,32,1026,4,7,3,3,0,0,6,2,7,9,1,3,0,4,0,1,8,0
11,3,33,785,0,0,3,3,0,0,-5,0,0,0,1,1,0,1,1,0,0,0
11,3,34,783,0,3,3,3,0,0,-9,0,0,0,3,1,0,1,0,0,0,0
11,3,35,933,7,10,3,3,0,0,-11,0,4,4,0,2,0,0,0,0,19,0
11,3,36,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,37,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,38,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,4,39,2154,4,8,3,3,0,0,-8,4,6,10,2,1,0,1,1,0,8,1
11,4,40,2380,13,21,3,3,1,3,-1,1,10,11,3,0,2,0,1,1,33,1
11,4,41,424,1,2,3,3,0,0,-15,2,1,3,0,1,0,0,0,0,2,1
11,4,42,2561,11,23,3,3,3,4,-9,1,1,2,6,0,2,2,1,1,27,1
11,4,43,2198,3,9,3,3,1,1,-8,0,2,2,6,2,0,3,0,0,8,1
11,4,44,1858,4,13,3,3,1,2,9,2,2,4,4,2,2,0,1,0,12,0
11,4,45,1523,5,6,3,3,4,4,-3,4,1,5,0,0,0,1,1,0,14,0
11,4,46,982,3,7,3,3,2,2,6,0,1,1,4,3,0,0,0,1,10,0
11,4,47,1141,0,3,3,3,0,0,15,0,2,2,2,0,0,0,0,0,0,0
11,4,48,679,3,4,3,3,0,0,4,1,2,3,0,3,1,1,0,0,6,0
11,4,49,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,4,50,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,4,51,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,5,52,2477,7,15,3,3,0,2,-9,0,8,8,4,2,1,2,0,2,16,1
12,5,53,506,0,2,3,3,0,0,-6,1,1,2,0,4,0,0,0,0,0,1
12,5,54,2142,5,8,3,3,2,6,-8,6,17,23,0,1,1,3,2,1,12,1
12,5,55,2166,4,10,3,3,16,16,-17,6,17,23,0,1,1,3,2,1,12,1
12,5,56,1975,6,14,3,3,2,2,-14,1,3,4,2,0,1,2,0,1,16,1
12,5,57,1335,3,10,3,3,0,0,-5,1,1,2,0,2,0,0,0,0,7,0
12,5,58,1532,4,9,3,3,0,0,9,0,2,2,3,2,0,0,1,1,10,0
12,5,59,1390,1,8,3,3,0,0,-1,0,1,1,1,1,0,2,0,0,2,0
12,5,60,877,2,8,3,3,2,2,6,0,1,1,3,2,1,2,0,0,7,0
12,5,61,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,5,62,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,5,63,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,5,64,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,6,65,2034,13,21,3,3,2,2,17,0,4,4,3,2,1,1,0,0,32,1
12,6,66,1406,2,4,3,3,0,0,11,0,6,6,1,1,1,2,0,0,4,1
12,6,67,1658,5,6,3,3,1,3,8,3,3,6,4,2,1,2,2,1,11,1
12,6,68,1751,6,12,3,3,5,6,4,0,6,6,2,2,2,1,1,1,17,1
12,6,69,2129,6,14,3,3,0,0,7,0,3,3,6,4,2,1,0,0,12,1
12,6,70,1643,1,3,3,3,2,4,4,0,2,2,2,5,1,1,0,0,4,0
12,6,71,1194,6,12,3,3,1,2,1,2,2,4,2,4,0,4,2,0,13,0
12,6,72,1474,4,7,3,3,0,0,-2,1,6,7,1,2,1,1,0,1,10,0
12,6,73,1039,1,3,3,3,0,0,-3,0,4,4,2,4,0,0,0,0,2,0
12,6,74,44,0,1,3,3,0,0,-2,0,0,0,0,0,0,0,0,0,0,0
12,6,75,28,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,6,76,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
