id,white_king_file,white_king_rank,white_rook_file,white_rook_rank,black_king_file,black_king_rank,class
306,7,2,2,5,3,5,illegal
307,2,6,7,6,1,7,illegal
308,5,3,6,1,6,6,illegal
309,6,6,1,1,7,7,illegal
310,5,1,3,3,4,0,illegal
311,4,6,6,0,5,6,illegal
312,4,5,7,0,6,0,illegal
313,6,0,6,3,3,3,illegal
314,0,7,1,3,1,6,illegal
315,1,5,7,1,1,1,illegal
316,7,0,7,0,7,0,illegal
317,5,2,5,2,3,7,illegal
318,1,6,5,4,0,6,illegal
319,5,7,4,4,6,7,illegal
320,3,6,1,0,1,7,illegal
321,6,6,5,4,5,2,illegal
322,5,6,3,7,3,5,illegal
323,2,7,0,7,0,2,illegal
324,2,7,5,3,5,6,illegal
325,5,1,7,5,6,0,illegal
326,0,1,7,2,7,6,illegal
327,3,6,6,1,3,1,illegal
328,4,1,2,4,4,1,illegal
329,1,5,3,5,3,4,illegal
330,7,6,1,2,1,2,illegal
331,6,4,6,4,7,6,illegal
332,5,0,2,3,2,2,illegal
333,0,6,2,2,1,6,illegal
334,7,0,4,3,4,3,illegal
335,6,4,5,0,5,4,illegal
336,3,6,4,0,0,0,illegal
337,2,6,2,6,3,4,illegal
338,5,3,6,1,4,2,illegal
339,4,5,2,5,5,5,illegal
340,0,2,6,3,1,3,illegal
341,7,3,4,3,4,3,illegal
342,5,4,0,1,5,5,illegal
343,7,4,7,1,3,5,legal
344,6,5,6,0,3,6,legal
345,7,7,5,6,2,5,legal
346,0,0,3,5,1,4,legal
347,2,6,2,2,7,6,legal
348,0,5,5,7,7,0,legal
349,4,4,6,1,5,7,legal
350,6,3,6,1,0,7,legal
351,3,2,2,7,5,5,legal
352,7,5,6,4,5,1,legal
353,3,0,0,2,4,4,legal
354,2,6,7,2,1,3,legal
355,2,5,2,0,6,7,legal
356,5,1,2,0,6,7,legal
357,1,0,4,0,0,7,legal
358,0,4,1,7,2,3,legal
359,0,6,4,2,0,3,legal
360,1,7,4,6,6,4,legal
361,7,3,1,0,7,1,legal
362,3,0,7,5,0,3,legal
363,5,5,6,2,7,5,legal
364,3,0,5,4,1,1,legal
365,7,4,5,6,0,5,legal
366,0,5,7,4,0,0,legal
367,7,3,3,1,6,0,legal
368,2,0,4,7,5,4,legal
369,4,3,1,1,4,5,legal
370,5,5,0,7,1,2,legal
371,7,6,5,6,6,0,legal
372,6,5,4,3,3,4,legal
373,3,6,0,0,7,1,legal
374,3,6,4,7,6,2,legal
375,2,7,2,6,4,4,legal
376,5,4,4,4,7,2,legal
377,3,7,2,1,5,2,legal
378,3,6,6,0,1,3,legal
379,2,2,6,7,0,3,legal
380,3,3,2,6,1,2,legal
381,0,6,5,4,1,1,legal
382,6,6,1,1,3,2,legal
383,4,2,0,2,7,2,legal
384,6,7,7,0,4,4,legal
385,1,5,7,7,5,1,legal
386,1,0,1,3,2,2,legal
387,5,5,3,6,1,0,legal
388,6,6,2,1,0,5,legal
389,5,0,5,4,2,6,legal
390,5,2,0,5,1,3,legal
391,7,3,3,0,1,2,legal
392,1,0,0,3,1,2,legal
393,1,6,2,7,1,2,legal
394,2,0,6,2,2,3,legal
395,5,4,2,0,5,7,legal
396,0,3,5,0,2,5,legal
397,2,0,4,5,7,6,legal
398,6,1,0,0,4,4,legal
399,2,4,1,0,4,5,legal
400,6,7,0,3,5,0,legal
401,2,5,1,1,4,0,legal
402,3,3,5,6,2,7,legal
403,4,2,5,5,0,1,legal
404,4,4,0,3,7,7,legal
405,2,4,5,7,1,2,legal
406,0,7,0,6,3,5,legal
407,1,4,5,4,6,7,legal
408,6,5,6,4,2,2,legal
409,1,7,2,1,3,3,legal
410,3,1,2,2,3,5,legal
411,3,7,3,4,5,6,legal
412,2,3,7,2,4,0,legal
413,5,0,1,7,7,2,legal
414,4,5,6,6,2,4,legal
415,5,3,2,0,7,3,legal
416,1,7,6,0,5,3,legal
417,2,7,4,1,6,4,legal
418,6,6,4,4,6,2,legal
419,1,7,3,2,5,5,legal
420,1,3,7,0,3,2,legal
421,5,4,5,1,2,6,legal
422,4,0,3,1,2,5,legal
423,6,5,7,2,4,0,legal
424,1,6,4,7,1,0,legal
425,4,6,6,3,7,2,legal
426,4,4,2,3,6,4,legal
427,4,7,2,1,6,4,legal
428,3,2,0,1,6,2,legal
429,7,5,0,1,1,3,legal
430,2,7,1,5,0,6,legal
431,1,0,6,3,3,7,legal
432,6,7,2,3,5,5,legal
433,7,1,0,7,2,3,legal
434,5,4,0,6,2,1,legal
435,5,2,3,4,1,3,legal
436,1,3,0,0,6,4,legal
437,5,7,5,0,1,6,legal
438,3,1,0,4,2,7,legal
439,5,6,7,5,0,2,legal
440,0,2,3,4,4,0,legal
441,4,0,0,4,5,7,legal
442,7,1,7,6,4,1,legal
443,6,7,5,1,6,3,legal
444,1,7,2,0,0,1,legal
445,5,0,6,7,5,3,legal
446,1,3,6,0,7,3,legal
447,4,4,2,1,4,6,legal
448,2,6,2,4,5,3,legal
449,5,3,4,5,7,0,legal
450,0,1,1,7,4,1,legal
451,7,7,5,1,3,0,legal
452,7,4,2,3,7,7,legal
453,4,2,0,6,2,7,legal
454,6,3,4,2,1,1,legal
455,3,3,6,0,4,7,legal
456,2,1,1,2,4,7,legal
457,2,7,5,4,0,0,legal
458,6,2,3,7,0,2,legal
459,0,7,2,5,5,3,legal
460,4,7,2,5,3,4,legal
461,1,7,3,4,1,0,legal
462,5,0,1,7,4,2,legal
463,0,6,1,0,5,7,legal
464,5,7,4,6,2,4,legal
465,3,5,0,0,7,2,legal
466,3,6,7,6,6,1,legal
467,7,5,3,0,2,2,legal
468,4,5,5,1,0,6,legal
469,3,6,2,3,3,4,legal
470,6,7,2,1,7,4,legal
471,1,7,1,3,4,2,legal
472,3,2,5,1,2,7,legal
473,4,4,3,6,6,4,legal
474,0,5,5,7,6,2,legal
475,2,4,1,3,2,2,legal
476,2,3,6,7,7,4,legal
477,2,2,7,7,4,4,legal
478,7,7,4,1,5,0,legal
479,0,6,5,7,4,3,legal
480,6,6,0,4,6,2,legal
481,4,3,4,0,4,5,legal
482,3,1,2,2,4,6,legal
483,1,0,3,6,4,2,legal
484,6,5,7,2,1,4,legal
485,1,0,7,6,3,2,legal
486,5,2,0,5,1,3,legal
487,1,1,7,0,3,2,legal
488,4,3,6,2,3,5,legal
489,4,7,1,4,6,1,legal
490,1,4,7,0,3,5,legal
491,0,3,5,6,3,0,legal
492,5,5,3,4,4,7,legal
493,7,3,1,5,5,0,legal
494,4,1,2,1,0,7,legal
495,0,5,5,4,7,0,legal
496,4,3,6,7,5,1,legal
497,1,6,7,7,6,1,legal
498,0,6,7,7,2,4,legal
499,3,5,5,2,6,7,legal
500,4,4,6,3,2,0,legal
501,0,3,7,7,3,1,legal
502,6,5,3,4,2,5,legal
503,5,7,3,2,7,1,legal
504,3,3,4,2,3,1,legal
505,0,1,4,3,2,7,legal
506,4,2,3,7,5,4,legal
507,5,5,2,5,4,2,legal
508,6,0,2,2,5,7,legal
509,1,3,6,6,3,5,legal
510,2,2,5,5,6,3,legal
511,6,3,2,2,4,6,legal
512,2,2,6,7,0,4,legal
513,6,5,5,0,7,2,legal
514,7,1,3,7,7,5,legal
515,4,1,0,2,7,6,legal
516,2,2,5,0,1,7,legal
517,6,7,2,1,7,0,legal
518,1,6,4,2,3,4,legal
519,3,4,2,5,6,3,legal
520,5,3,2,4,6,1,legal
521,4,2,4,7,2,2,legal
522,3,7,0,5,4,4,legal
523,6,1,2,0,4,6,legal
524,7,7,6,4,3,3,legal
525,3,2,7,1,6,6,legal
526,5,4,2,5,1,3,legal
527,7,5,5,0,1,5,legal
528,4,2,0,2,2,1,legal
529,3,7,7,5,2,2,legal
530,6,4,3,7,4,2,legal
531,2,7,5,1,4,6,legal
532,2,0,3,3,4,2,legal
533,6,4,0,5,4,2,legal
534,7,1,1,3,2,7,legal
535,5,7,2,1,1,6,legal
536,7,1,5,4,7,6,legal
537,5,5,3,5,7,6,legal
538,4,2,7,6,3,5,legal
539,4,3,7,6,6,0,legal
540,5,3,7,2,4,6,legal
541,4,7,5,7,0,1,legal
542,5,6,2,0,1,5,legal
543,5,2,1,4,6,6,legal
544,6,1,0,1,4,2,legal
545,6,0,5,6,2,4,legal
546,4,1,5,5,6,7,legal
547,7,0,2,7,4,5,legal
548,1,0,0,2,1,6,legal
549,6,7,2,3,1,2,legal
550,7,2,1,5,6,7,legal
551,4,4,1,1,0,7,legal
552,6,1,5,1,2,5,legal
553,7,2,6,7,0,6,legal
554,1,2,7,3,4,7,legal
555,2,5,7,3,6,5,legal
556,3,6,4,4,2,0,legal
557,4,6,2,3,6,0,legal
558,2,7,0,1,5,6,legal
559,6,3,3,2,0,5,legal
560,1,0,0,0,7,2,legal
561,0,3,4,2,6,6,legal
562,0,0,1,1,6,2,legal
563,0,4,4,4,6,1,legal
564,6,0,4,6,7,4,legal
565,5,1,6,1,0,3,legal
566,0,4,7,0,5,6,legal
567,1,0,2,6,7,5,legal
568,2,2,1,6,4,1,legal
569,1,6,2,7,1,1,legal
570,3,3,2,0,7,6,legal
571,3,1,3,5,0,3,legal
572,1,4,3,3,1,0,legal
573,2,3,2,5,4,2,legal
574,2,6,4,4,0,3,legal
575,6,6,6,7,5,4,legal
576,7,2,3,2,1,7,legal
577,4,7,3,6,5,0,legal
578,0,5,7,4,4,3,legal
579,7,3,6,3,0,7,legal
580,0,5,1,6,7,3,legal
581,0,2,0,3,5,1,legal
582,7,1,2,6,0,5,legal
583,7,7,2,0,7,4,legal
584,3,2,2,7,5,6,legal
585,1,3,1,1,3,7,legal
586,6,6,3,0,7,2,legal
587,5,7,3,7,4,0,legal
588,7,0,1,0,7,6,legal
589,5,3,4,1,0,2,legal
590,0,5,1,3,0,1,legal
591,1,4,0,3,5,0,legal
592,3,7,1,2,4,1,legal
593,1,0,2,6,3,1,legal
594,1,6,1,1,4,5,legal
595,6,3,3,3,6,1,legal
596,5,5,7,7,3,6,legal
597,2,3,0,2,3,7,legal
598,7,5,3,0,4,5,legal
599,5,1,0,2,6,4,legal
600,3,3,2,6,5,7,legal
601,4,3,2,3,6,5,legal
602,0,6,3,3,7,6,legal
603,7,0,3,1,5,0,legal
604,4,0,3,7,1,0,legal
605,7,7,1,2,0,1,legal
606,0,7,3,5,0,1,legal
607,1,6,5,3,7,0,legal
608,3,4,7,7,0,6,legal
609,0,2,7,1,3,7,legal
610,1,7,6,4,4,7,legal
611,6,0,5,1,0,6,legal
612,1,7,3,6,6,5,legal
613,5,6,7,4,3,3,legal
614,7,3,0,4,5,7,legal
615,1,5,5,4,4,6,legal
616,7,0,7,6,3,0,legal
617,4,4,1,4,2,1,legal
618,3,4,1,3,5,6,legal
619,1,2,2,7,0,5,legal
620,6,6,2,7,1,5,legal
621,5,2,5,7,1,3,legal
622,7,2,3,2,7,6,legal
623,0,3,2,3,5,5,legal
624,7,7,6,4,2,3,legal
625,0,4,0,2,7,7,legal
626,1,7,2,4,0,0,legal
627,7,5,1,5,6,2,legal
628,5,2,5,5,2,0,legal
629,2,4,7,1,2,6,legal
630,6,2,5,5,0,2,legal
631,7,5,1,1,6,3,legal
632,1,0,5,6,3,3,legal
633,7,5,7,7,3,3,legal
634,1,4,1,6,6,7,legal
635,1,1,5,2,2,7,legal
636,5,4,0,3,2,0,legal
637,5,6,0,6,2,5,legal
638,1,7,0,0,7,3,legal
639,5,6,5,5,1,1,legal
640,3,7,6,3,1,0,legal
641,6,5,2,2,6,3,legal
642,0,2,5,5,4,6,legal
643,5,2,5,4,7,6,legal
644,2,5,0,7,6,2,legal
645,3,4,1,0,5,2,legal
646,7,3,0,4,3,6,legal
647,2,6,2,0,0,7,legal
648,2,4,5,3,2,0,legal
649,1,5,4,5,3,1,legal
650,7,2,2,1,7,4,legal
651,7,1,0,4,7,3,legal
652,5,6,5,3,6,1,legal
653,4,7,5,0,0,2,legal
654,4,0,5,4,7,1,legal
655,2,7,3,7,1,4,legal
656,4,0,6,1,4,6,legal
657,1,7,2,4,5,3,legal
658,7,0,4,1,6,5,legal
659,3,3,0,2,7,3,legal
660,1,2,4,7,6,4,legal
661,4,2,5,6,3,0,legal
662,1,7,1,4,6,2,legal
663,1,2,7,5,3,7,legal
664,0,7,1,0,4,6,legal
665,0,5,5,1,4,5,legal
666,7,5,2,1,0,7,legal
667,6,6,2,5,5,4,legal
668,2,4,3,7,4,6,legal
669,0,6,7,3,5,5,legal
670,2,4,7,0,6,7,legal
671,5,2,1,1,0,5,legal
672,6,2,5,5,2,7,legal
673,3,6,0,7,7,4,legal
674,3,2,0,3,7,1,legal
675,7,4,2,5,4,0,legal
676,5,2,5,5,7,3,legal
677,5,5,2,2,5,7,legal
678,5,5,3,2,5,7,legal
679,2,6,3,4,7,7,legal
680,2,7,7,4,2,2,legal
681,3,7,1,6,2,4,legal
682,5,3,7,1,1,0,legal
683,4,5,6,1,7,0,legal
684,7,4,5,6,7,2,legal
685,1,2,3,1,5,5,legal
686,2,7,7,0,3,2,legal
687,0,3,1,0,0,7,legal
688,2,3,0,3,5,7,legal
689,5,2,4,3,2,7,legal
690,6,5,7,5,3,7,legal
691,6,2,0,2,4,6,legal
692,3,5,3,7,5,1,legal
693,5,0,0,0,4,2,legal
694,6,6,0,2,7,1,legal
695,4,2,6,3,4,4,legal
696,1,3,4,0,2,6,legal
697,4,4,3,1,0,0,legal
698,4,5,7,4,0,7,legal
699,1,2,4,7,6,2,legal
700,2,3,6,5,7,2,legal
701,4,1,3,4,5,6,legal
702,2,0,4,6,7,2,legal
703,6,2,1,2,6,0,legal
704,6,0,5,6,3,0,legal
705,6,0,5,2,7,4,legal
706,2,7,6,4,0,3,legal
707,2,2,4,2,2,0,legal
708,4,2,7,2,3,6,legal
709,0,5,3,6,2,7,legal
710,6,2,7,2,0,5,legal
711,2,7,3,1,5,6,legal
712,4,7,3,7,7,6,legal
713,2,7,2,6,5,2,legal
714,5,1,5,6,1,1,legal
715,3,6,7,6,0,3,legal
716,4,0,5,7,3,6,legal
717,2,4,5,0,7,2,legal
718,2,2,2,4,0,2,legal
719,7,6,2,6,3,4,legal
720,4,1,6,1,5,6,legal
721,2,6,4,4,3,1,legal
722,0,5,2,6,1,1,legal
723,3,1,7,5,6,3,legal
724,7,7,3,1,0,3,legal
725,6,2,2,2,3,7,legal
726,6,3,3,2,4,4,legal
727,1,2,1,4,4,6,legal
728,7,0,2,0,5,5,legal
729,6,0,2,6,6,4,legal
730,6,3,7,2,0,5,legal
731,6,5,6,2,7,3,legal
732,0,1,4,1,7,2,legal
733,5,7,4,4,1,1,legal
734,7,0,1,5,2,3,legal
735,7,3,1,4,2,0,legal
736,5,3,3,7,4,6,legal
737,0,2,2,0,4,7,legal
738,1,7,3,6,2,3,legal
739,1,3,5,2,4,5,legal
740,3,0,3,4,1,0,legal
741,3,2,3,6,4,7,legal
742,3,3,2,1,1,7,legal
743,1,0,4,4,5,3,legal
744,3,0,2,6,5,0,legal
745,5,1,7,7,5,4,legal
746,3,3,5,7,2,5,legal
747,6,7,4,3,1,0,legal
748,2,4,5,2,7,4,legal
749,7,7,2,4,4,7,legal
750,2,5,3,6,7,4,legal
751,5,4,3,4,1,2,legal
752,0,4,7,5,2,3,legal
753,4,5,2,6,6,3,legal
754,7,1,6,2,2,0,legal
755,7,4,3,2,2,5,legal
756,4,0,0,0,2,4,legal
757,6,5,2,0,1,5,legal
758,1,2,5,7,3,4,legal
759,4,3,4,7,4,0,legal
760,3,2,7,3,6,7,legal
761,5,5,7,4,2,3,legal
762,1,6,5,3,0,0,legal
763,0,7,2,5,6,0,legal
764,5,3,2,2,6,6,legal
765,3,7,2,2,1,5,legal
766,2,4,0,7,3,2,legal
767,7,2,0,1,5,5,legal
768,1,5,0,4,4,2,legal
769,1,0,1,3,5,2,legal
770,6,4,0,6,2,4,legal
771,5,2,7,4,3,7,legal
772,1,3,6,1,3,4,legal
773,3,6,0,4,4,3,legal
774,6,3,6,7,2,6,legal
775,3,4,5,3,6,1,legal
776,5,5,2,4,4,7,legal
777,7,2,4,7,6,6,legal
778,5,4,1,4,6,6,legal
779,5,6,4,2,3,0,legal
780,6,2,2,0,5,4,legal
781,6,5,2,3,6,0,legal
782,1,2,4,3,5,0,legal
783,7,1,2,7,6,6,legal
784,3,6,1,5,0,7,legal
785,5,7,7,2,4,3,legal
786,1,6,6,3,7,5,legal
787,3,4,1,1,6,4,legal
788,3,5,2,0,4,1,legal
789,4,0,6,3,3,7,legal
790,0,3,3,6,2,5,legal
791,7,7,3,0,4,7,legal
792,1,4,5,3,0,7,legal
793,2,0,0,1,4,0,legal
794,2,7,5,3,2,4,legal
795,2,0,2,2,6,1,legal
796,6,5,2,3,0,0,legal
797,5,1,1,7,7,0,legal
798,4,7,2,5,3,2,legal
