PlayerId,PlayerName,nb_rows_in_Actions,random_value,SUM(Actions.OffensiveRebounds),SUM(Actions.FreeThrowsMade),SUM(Actions.BlockedShots),SUM(Actions.Points),SUM(Actions.FieldGoalAttempts),SUM(Actions.BlocksAgainst),SUM(Actions.PlusMinus),SUM(Actions.TotalRebounds),SUM(Actions.Turnovers),SUM(Actions.3PointAttempts),SUM(Actions.Starter),SUM(Actions.Minutes),SUM(Actions.PersonalFouls),SUM(Actions.DefensiveRebounds),SUM(Actions.Assists),SUM(Actions.FreeThrowAttempts),SUM(Actions.FieldGoalsMade),SUM(Actions.Steals),STD(Actions.OffensiveRebounds),STD(Actions.FreeThrowsMade),STD(Actions.BlockedShots),STD(Actions.Points),STD(Actions.FieldGoalAttempts),STD(Actions.BlocksAgainst),STD(Actions.PlusMinus),STD(Actions.TotalRebounds),STD(Actions.Turnovers),STD(Actions.3PointAttempts),STD(Actions.Starter),STD(Actions.Minutes),STD(Actions.PersonalFouls),STD(Actions.DefensiveRebounds),STD(Actions.Assists),STD(Actions.FreeThrowAttempts),STD(Actions.FieldGoalsMade),STD(Actions.Steals),MAX(Actions.OffensiveRebounds),MAX(Actions.FreeThrowsMade),MAX(Actions.BlockedShots),MAX(Actions.Points),MAX(Actions.FieldGoalAttempts),MAX(Actions.BlocksAgainst),MAX(Actions.PlusMinus),MAX(Actions.TotalRebounds),MAX(Actions.Turnovers),MAX(Actions.Starter),MAX(Actions.Minutes),MAX(Actions.PersonalFouls),MAX(Actions.DefensiveRebounds),MAX(Actions.Assists),MAX(Actions.FreeThrowAttempts),MAX(Actions.FieldGoalsMade),MAX(Actions.Steals),SKEW(Actions.OffensiveRebounds),SKEW(Actions.FreeThrowsMade),SKEW(Actions.BlockedShots),SKEW(Actions.Points),SKEW(Actions.FieldGoalAttempts),SKEW(Actions.BlocksAgainst),SKEW(Actions.PlusMinus),SKEW(Actions.TotalRebounds),SKEW(Actions.Turnovers),SKEW(Actions.Starter),SKEW(Actions.Minutes),SKEW(Actions.PersonalFouls),SKEW(Actions.DefensiveRebounds),SKEW(Actions.Assists),SKEW(Actions.FreeThrowAttempts),SKEW(Actions.FieldGoalsMade),SKEW(Actions.Steals),MIN(Actions.OffensiveRebounds),MIN(Actions.FreeThrowsMade),MIN(Actions.BlockedShots),MIN(Actions.Points),MIN(Actions.FieldGoalAttempts),MIN(Actions.BlocksAgainst),MIN(Actions.PlusMinus),MIN(Actions.TotalRebounds),MIN(Actions.Turnovers),MIN(Actions.Starter),MIN(Actions.Minutes),MIN(Actions.PersonalFouls),MIN(Actions.DefensiveRebounds),MIN(Actions.Assists),MIN(Actions.FreeThrowAttempts),MIN(Actions.FieldGoalsMade),MIN(Actions.Steals),MEAN(Actions.OffensiveRebounds),MEAN(Actions.FreeThrowsMade),MEAN(Actions.BlockedShots),MEAN(Actions.Points),MEAN(Actions.FieldGoalAttempts),MEAN(Actions.BlocksAgainst),MEAN(Actions.PlusMinus),MEAN(Actions.TotalRebounds),MEAN(Actions.Turnovers),MEAN(Actions.Starter),MEAN(Actions.Minutes),MEAN(Actions.PersonalFouls),MEAN(Actions.DefensiveRebounds),MEAN(Actions.Assists),MEAN(Actions.FreeThrowAttempts),MEAN(Actions.FieldGoalsMade),MEAN(Actions.Steals),MODE(Actions.TeamId),MODE(Actions.GameId),add_numerical
11,CJ McCollum,1,0.7909586652202603,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,1.0,1.0,3.0,0.0,129.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,1.0,1.0,0.0,129.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,1.0,1.0,0.0,129.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,1.0,1.0,0.0,129.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,11
12,Meyers Leonard,1,0.9799935671929177,0.0,0.0,0.0,0.0,2.0,1.0,-6.0,0.0,0.0,3.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2.0,1.0,-6.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2.0,1.0,-6.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,-6.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,12
13,Victor Claver,1,0.05626030169099472,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,3.0,0.0,92.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,92.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,92.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,13
14,Kent Bazemore,2,0.8256825396887735,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,3.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,14
15,Pau Gasol,2,0.03115024873335881,1.0,3.0,0.0,31.0,28.0,0.0,-24.0,11.0,4.0,6.0,2.0,3673.0,4.0,10.0,7.0,4.0,12.0,4.0,0.7071067811865476,2.1213203435596424,0.0,2.1213203435596424,5.656854249492381,0.0,11.313708498984761,2.1213203435596424,1.4142135623730951,0.0,0.0,21.920310216782973,0.0,1.4142135623730951,3.5355339059327378,2.8284271247461903,0.0,0.0,1.0,3.0,0.0,17.0,18.0,0.0,-4.0,7.0,3.0,1.0,1852.0,2.0,6.0,6.0,4.0,6.0,2.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,14.0,10.0,0.0,-20.0,4.0,1.0,1.0,1821.0,2.0,4.0,1.0,0.0,6.0,2.0,0.5,1.5,0.0,15.5,14.0,0.0,-12.0,5.5,2.0,1.0,1836.5,2.0,5.0,3.5,2.0,6.0,2.0,2.0,10.0,15
16,Chris Kaman,2,0.6144767120885881,1.0,1.0,2.0,9.0,9.0,2.0,-18.0,4.0,3.0,6.0,1.0,1700.0,4.0,3.0,7.0,1.0,4.0,1.0,0.7071067811865476,0.7071067811865476,1.4142135623730951,6.363961030678928,6.363961030678928,1.4142135623730951,12.727922061357855,2.8284271247461903,2.1213203435596424,0.0,0.7071067811865476,1202.0815280171307,2.8284271247461903,2.1213203435596424,4.949747468305833,0.7071067811865476,2.8284271247461903,0.7071067811865476,1.0,1.0,2.0,9.0,9.0,2.0,0.0,4.0,3.0,1.0,1700.0,4.0,3.0,7.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,4.5,4.5,1.0,-9.0,2.0,1.5,0.5,850.0,2.0,1.5,3.5,0.5,2.0,0.5,2.0,10.0,16
17,Jodie Meeks,2,0.7554228467199662,1.0,0.0,3.0,12.0,16.0,0.0,-19.0,6.0,2.0,6.0,1.0,1744.0,2.0,5.0,2.0,0.0,6.0,1.0,0.7071067811865476,0.0,2.1213203435596424,8.48528137423857,11.313708498984761,0.0,13.435028842544403,4.242640687119285,1.4142135623730951,0.0,0.7071067811865476,1233.1942263893388,1.4142135623730951,3.5355339059327378,1.4142135623730951,0.0,4.242640687119285,0.7071067811865476,1.0,0.0,3.0,12.0,16.0,0.0,0.0,6.0,2.0,1.0,1744.0,2.0,5.0,2.0,0.0,6.0,1.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.5,6.0,8.0,0.0,-9.5,3.0,1.0,0.5,872.0,1.0,2.5,1.0,0.0,3.0,0.5,2.0,10.0,17
18,Kendall Marshall,2,0.3226448601670706,1.0,3.0,0.0,25.0,22.0,0.0,-20.0,5.0,2.0,6.0,2.0,3767.0,1.0,4.0,3.0,3.0,10.0,0.0,0.7071067811865476,2.1213203435596424,0.0,12.020815280171307,5.656854249492381,0.0,14.142135623730951,0.7071067811865476,0.0,0.0,0.0,405.1721856198917,0.7071067811865476,0.0,0.7071067811865476,2.1213203435596424,4.242640687119285,0.0,1.0,3.0,0.0,21.0,15.0,0.0,0.0,3.0,1.0,1.0,2170.0,1.0,2.0,2.0,3.0,8.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,4.0,7.0,0.0,-20.0,2.0,1.0,1.0,1597.0,0.0,2.0,1.0,0.0,2.0,0.0,0.5,1.5,0.0,12.5,11.0,0.0,-10.0,2.5,1.0,1.0,1883.5,0.5,2.0,1.5,1.5,5.0,0.0,2.0,10.0,18
19,Steve Nash,2,0.3744855548596393,0.0,2.0,0.0,15.0,13.0,1.0,-13.0,13.0,4.0,6.0,2.0,3106.0,7.0,13.0,15.0,2.0,5.0,3.0,0.0,1.4142135623730951,0.0,0.7071067811865476,3.5355339059327378,0.7071067811865476,10.606601717798213,0.7071067811865476,1.4142135623730951,0.0,0.0,562.8569978244918,0.7071067811865476,0.7071067811865476,3.5355339059327378,1.4142135623730951,0.7071067811865476,0.7071067811865476,0.0,2.0,0.0,8.0,9.0,1.0,1.0,7.0,3.0,1.0,1951.0,4.0,7.0,10.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,7.0,4.0,0.0,-14.0,6.0,1.0,1.0,1155.0,3.0,6.0,5.0,0.0,2.0,1.0,0.0,1.0,0.0,7.5,6.5,0.5,-6.5,6.5,2.0,1.0,1553.0,3.5,6.5,7.5,1.0,2.5,1.5,2.0,10.0,19
20,Xavier Henry,2,0.8634779590870114,0.0,6.0,1.0,10.0,5.0,1.0,8.0,4.0,1.0,6.0,0.0,1308.0,1.0,4.0,10.0,6.0,2.0,0.0,0.0,4.242640687119285,0.7071067811865476,7.0710678118654755,3.5355339059327378,0.7071067811865476,5.656854249492381,2.8284271247461903,0.7071067811865476,0.0,0.0,924.8956697920041,0.7071067811865476,2.8284271247461903,7.0710678118654755,4.242640687119285,1.4142135623730951,0.0,0.0,6.0,1.0,10.0,5.0,1.0,8.0,4.0,1.0,0.0,1308.0,1.0,4.0,10.0,6.0,2.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,5.0,2.5,0.5,4.0,2.0,0.5,0.0,654.0,0.5,2.0,5.0,3.0,1.0,0.0,2.0,10.0,20
21,Robert Sacre,2,0.25738078547082066,0.0,0.0,0.0,0.0,4.0,1.0,7.0,0.0,0.0,6.0,0.0,788.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8284271247461903,0.7071067811865476,4.949747468305833,0.0,0.0,0.0,0.0,557.2001435749994,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,7.0,0.0,0.0,0.0,788.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,3.5,0.0,0.0,0.0,394.0,0.5,0.0,0.0,0.0,0.0,0.0,2.0,10.0,21
22,Ryan Kelly,2,0.15247026080307124,2.0,3.0,2.0,11.0,10.0,0.0,-1.0,7.0,0.0,6.0,0.0,2262.0,1.0,5.0,4.0,4.0,4.0,0.0,0.0,0.7071067811865476,1.4142135623730951,3.5355339059327378,2.8284271247461903,0.0,7.7781745930520225,3.5355339059327378,0.0,0.0,0.0,32.526911934581186,0.7071067811865476,3.5355339059327378,1.4142135623730951,0.0,1.4142135623730951,0.0,1.0,2.0,2.0,8.0,7.0,0.0,5.0,6.0,0.0,0.0,1154.0,1.0,5.0,3.0,2.0,3.0,0.0,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,3.0,3.0,0.0,-6.0,1.0,0.0,0.0,1108.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.5,1.0,5.5,5.0,0.0,-0.5,3.5,0.0,0.0,1131.0,0.5,2.5,2.0,2.0,2.0,0.0,2.0,10.0,22
23,Nick Young,2,0.6551419564070233,5.0,4.0,4.0,15.0,14.0,0.0,19.0,14.0,1.0,6.0,1.0,2890.0,6.0,9.0,4.0,6.0,5.0,0.0,2.1213203435596424,0.0,0.0,2.1213203435596424,1.4142135623730951,0.0,2.1213203435596424,2.8284271247461903,0.7071067811865476,0.0,0.7071067811865476,335.1686142824235,0.0,0.7071067811865476,0.0,1.4142135623730951,0.7071067811865476,0.0,4.0,2.0,2.0,9.0,8.0,0.0,11.0,9.0,1.0,1.0,1682.0,3.0,5.0,2.0,4.0,3.0,0.0,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,6.0,6.0,0.0,8.0,5.0,0.0,0.0,1208.0,3.0,4.0,2.0,2.0,2.0,0.0,2.5,2.0,2.0,7.5,7.0,0.0,9.5,7.0,0.5,0.5,1445.0,3.0,4.5,2.0,3.0,2.5,0.0,2.0,10.0,23
24,Marshon Brooks,2,0.3659905897481147,4.0,5.0,0.0,57.0,43.0,2.0,-11.0,6.0,2.0,6.0,0.0,3768.0,3.0,2.0,2.0,6.0,21.0,3.0,0.0,2.1213203435596424,0.0,16.263455967290593,6.363961030678928,0.0,12.020815280171307,1.4142135623730951,0.0,0.0,0.0,123.03657992645927,2.1213203435596424,1.4142135623730951,0.0,2.8284271247461903,6.363961030678928,0.7071067811865476,2.0,4.0,0.0,40.0,26.0,1.0,3.0,4.0,1.0,0.0,1971.0,3.0,2.0,1.0,5.0,15.0,2.0,,,,,,,,,,,,,,,,,,2.0,1.0,0.0,17.0,17.0,1.0,-14.0,2.0,1.0,0.0,1797.0,0.0,0.0,1.0,1.0,6.0,1.0,2.0,2.5,0.0,28.5,21.5,1.0,-5.5,3.0,1.0,0.0,1884.0,1.5,1.0,1.0,3.0,10.5,1.5,2.0,10.0,24
25,Jordan Hill,2,0.6417807820921939,0.0,0.0,0.0,3.0,3.0,1.0,-5.0,0.0,0.0,6.0,0.0,394.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.1213203435596424,2.1213203435596424,0.7071067811865476,3.5355339059327378,0.0,0.0,0.0,0.0,278.6000717874997,0.0,0.0,0.0,0.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,394.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.5,-2.5,0.0,0.0,0.0,197.0,0.0,0.0,0.0,0.0,0.5,0.5,2.0,10.0,25
26,Wesley Johnson,2,0.08776027279265874,6.0,8.0,4.0,18.0,15.0,1.0,1.0,15.0,1.0,6.0,1.0,1726.0,6.0,9.0,0.0,10.0,5.0,0.0,4.242640687119285,5.656854249492381,2.8284271247461903,12.727922061357855,10.606601717798213,0.7071067811865476,0.7071067811865476,10.606601717798213,0.7071067811865476,0.0,0.7071067811865476,1220.466304327981,4.242640687119285,6.363961030678928,0.0,7.0710678118654755,3.5355339059327378,0.0,6.0,8.0,4.0,18.0,15.0,1.0,1.0,15.0,1.0,1.0,1726.0,6.0,9.0,0.0,10.0,5.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,9.0,7.5,0.5,0.5,7.5,0.5,0.5,863.0,3.0,4.5,0.0,5.0,2.5,0.0,2.0,10.0,26
27,Andre Iguodala,2,0.29800403813097365,2.0,0.0,0.0,8.0,6.0,0.0,-9.0,12.0,1.0,6.0,0.0,1674.0,1.0,10.0,3.0,0.0,3.0,1.0,1.4142135623730951,0.0,0.0,5.656854249492381,4.242640687119285,0.0,6.363961030678928,8.48528137423857,0.7071067811865476,0.0,0.0,1183.6967517062806,0.7071067811865476,7.0710678118654755,2.1213203435596424,0.0,2.1213203435596424,0.7071067811865476,2.0,0.0,0.0,8.0,6.0,0.0,0.0,12.0,1.0,0.0,1674.0,1.0,10.0,3.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,-4.5,6.0,0.5,0.0,837.0,0.5,5.0,1.5,0.0,1.5,0.5,2.0,10.0,27
