PlayerId,PlayerName,nb_rows_in_Actions,random_value,SUM(Actions.TotalRebounds),SUM(Actions.OffensiveRebounds),SUM(Actions.Assists),SUM(Actions.PersonalFouls),SUM(Actions.Turnovers),SUM(Actions.3PointsMade),SUM(Actions.FieldGoalsMade),SUM(Actions.FreeThrowsMade),SUM(Actions.FreeThrowAttempts),SUM(Actions.BlocksAgainst),SUM(Actions.PlusMinus),SUM(Actions.Steals),SUM(Actions.Starter),SUM(Actions.Minutes),SUM(Actions.DefensiveRebounds),SUM(Actions.Points),SUM(Actions.BlockedShots),SUM(Actions.FieldGoalAttempts),STD(Actions.TotalRebounds),STD(Actions.OffensiveRebounds),STD(Actions.Assists),STD(Actions.PersonalFouls),STD(Actions.Turnovers),STD(Actions.3PointsMade),STD(Actions.FieldGoalsMade),STD(Actions.FreeThrowsMade),STD(Actions.FreeThrowAttempts),STD(Actions.BlocksAgainst),STD(Actions.PlusMinus),STD(Actions.Steals),STD(Actions.Starter),STD(Actions.Minutes),STD(Actions.DefensiveRebounds),STD(Actions.Points),STD(Actions.BlockedShots),STD(Actions.FieldGoalAttempts),MAX(Actions.TotalRebounds),MAX(Actions.OffensiveRebounds),MAX(Actions.Assists),MAX(Actions.PersonalFouls),MAX(Actions.Turnovers),MAX(Actions.FieldGoalsMade),MAX(Actions.FreeThrowsMade),MAX(Actions.FreeThrowAttempts),MAX(Actions.BlocksAgainst),MAX(Actions.PlusMinus),MAX(Actions.Steals),MAX(Actions.Starter),MAX(Actions.Minutes),MAX(Actions.DefensiveRebounds),MAX(Actions.Points),MAX(Actions.BlockedShots),MAX(Actions.FieldGoalAttempts),SKEW(Actions.TotalRebounds),SKEW(Actions.OffensiveRebounds),SKEW(Actions.Assists),SKEW(Actions.PersonalFouls),SKEW(Actions.Turnovers),SKEW(Actions.FieldGoalsMade),SKEW(Actions.FreeThrowsMade),SKEW(Actions.FreeThrowAttempts),SKEW(Actions.BlocksAgainst),SKEW(Actions.PlusMinus),SKEW(Actions.Steals),SKEW(Actions.Starter),SKEW(Actions.Minutes),SKEW(Actions.DefensiveRebounds),SKEW(Actions.Points),SKEW(Actions.BlockedShots),SKEW(Actions.FieldGoalAttempts),MIN(Actions.TotalRebounds),MIN(Actions.OffensiveRebounds),MIN(Actions.Assists),MIN(Actions.PersonalFouls),MIN(Actions.Turnovers),MIN(Actions.FieldGoalsMade),MIN(Actions.FreeThrowsMade),MIN(Actions.FreeThrowAttempts),MIN(Actions.BlocksAgainst),MIN(Actions.PlusMinus),MIN(Actions.Steals),MIN(Actions.Starter),MIN(Actions.Minutes),MIN(Actions.DefensiveRebounds),MIN(Actions.Points),MIN(Actions.BlockedShots),MIN(Actions.FieldGoalAttempts),MEAN(Actions.TotalRebounds),MEAN(Actions.OffensiveRebounds),MEAN(Actions.Assists),MEAN(Actions.PersonalFouls),MEAN(Actions.Turnovers),MEAN(Actions.FieldGoalsMade),MEAN(Actions.FreeThrowsMade),MEAN(Actions.FreeThrowAttempts),MEAN(Actions.BlocksAgainst),MEAN(Actions.PlusMinus),MEAN(Actions.Steals),MEAN(Actions.Starter),MEAN(Actions.Minutes),MEAN(Actions.DefensiveRebounds),MEAN(Actions.Points),MEAN(Actions.BlockedShots),MEAN(Actions.FieldGoalAttempts),MODE(Actions.GameId),MODE(Actions.TeamId),add_numerical
11,CJ McCollum,1,0.9581026093525479,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,129.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,129.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,129.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,129.0,1.0,0.0,0.0,0.0,10.0,1.0,11
12,Meyers Leonard,1,0.8565435941881506,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,-6.0,0.0,0.0,129.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-6.0,0.0,0.0,129.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-6.0,0.0,0.0,129.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-6.0,0.0,0.0,129.0,0.0,0.0,0.0,2.0,10.0,1.0,12
13,Victor Claver,1,0.9778036157824194,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,10.0,1.0,13
14,Kent Bazemore,2,0.5677876590858163,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,10.0,1.0,14
15,Pau Gasol,2,0.7227631735804426,11.0,1.0,7.0,4.0,4.0,6.0,12.0,3.0,4.0,0.0,-24.0,4.0,2.0,3673.0,10.0,31.0,0.0,28.0,2.1213203435596424,0.7071067811865476,3.5355339059327378,0.0,1.4142135623730951,0.0,0.0,2.1213203435596424,2.8284271247461903,0.0,11.313708498984761,0.0,0.0,21.920310216782973,1.4142135623730951,2.1213203435596424,0.0,5.656854249492381,7.0,1.0,6.0,2.0,3.0,6.0,3.0,4.0,0.0,-4.0,2.0,1.0,1852.0,6.0,17.0,0.0,18.0,,,,,,,,,,,,,,,,,,4.0,0.0,1.0,2.0,1.0,6.0,0.0,0.0,0.0,-20.0,2.0,1.0,1821.0,4.0,14.0,0.0,10.0,5.5,0.5,3.5,2.0,2.0,6.0,1.5,2.0,0.0,-12.0,2.0,1.0,1836.5,5.0,15.5,0.0,14.0,10.0,2.0,15
16,Chris Kaman,2,0.2630159119751102,4.0,1.0,7.0,4.0,3.0,6.0,4.0,1.0,1.0,2.0,-18.0,1.0,1.0,1700.0,3.0,9.0,2.0,9.0,2.8284271247461903,0.7071067811865476,4.949747468305833,2.8284271247461903,2.1213203435596424,0.0,2.8284271247461903,0.7071067811865476,0.7071067811865476,1.4142135623730951,12.727922061357855,0.7071067811865476,0.7071067811865476,1202.0815280171307,2.1213203435596424,6.363961030678928,1.4142135623730951,6.363961030678928,4.0,1.0,7.0,4.0,3.0,4.0,1.0,1.0,2.0,0.0,1.0,1.0,1700.0,3.0,9.0,2.0,9.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,3.5,2.0,1.5,2.0,0.5,0.5,1.0,-9.0,0.5,0.5,850.0,1.5,4.5,1.0,4.5,10.0,2.0,16
17,Jodie Meeks,2,0.6360330852863713,6.0,1.0,2.0,2.0,2.0,6.0,6.0,0.0,0.0,0.0,-19.0,1.0,1.0,1744.0,5.0,12.0,3.0,16.0,4.242640687119285,0.7071067811865476,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,4.242640687119285,0.0,0.0,0.0,13.435028842544403,0.7071067811865476,0.7071067811865476,1233.1942263893388,3.5355339059327378,8.48528137423857,2.1213203435596424,11.313708498984761,6.0,1.0,2.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1744.0,5.0,12.0,3.0,16.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,1.0,1.0,1.0,3.0,0.0,0.0,0.0,-9.5,0.5,0.5,872.0,2.5,6.0,1.5,8.0,10.0,2.0,17
18,Kendall Marshall,2,0.49024611919827277,5.0,1.0,3.0,1.0,2.0,6.0,10.0,3.0,3.0,0.0,-20.0,0.0,2.0,3767.0,4.0,25.0,0.0,22.0,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.0,0.0,4.242640687119285,2.1213203435596424,2.1213203435596424,0.0,14.142135623730951,0.0,0.0,405.1721856198917,0.0,12.020815280171307,0.0,5.656854249492381,3.0,1.0,2.0,1.0,1.0,8.0,3.0,3.0,0.0,0.0,0.0,1.0,2170.0,2.0,21.0,0.0,15.0,,,,,,,,,,,,,,,,,,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,-20.0,0.0,1.0,1597.0,2.0,4.0,0.0,7.0,2.5,0.5,1.5,0.5,1.0,5.0,1.5,1.5,0.0,-10.0,0.0,1.0,1883.5,2.0,12.5,0.0,11.0,10.0,2.0,18
19,Steve Nash,2,0.8997040243585877,13.0,0.0,15.0,7.0,4.0,6.0,5.0,2.0,2.0,1.0,-13.0,3.0,2.0,3106.0,13.0,15.0,0.0,13.0,0.7071067811865476,0.0,3.5355339059327378,0.7071067811865476,1.4142135623730951,0.0,0.7071067811865476,1.4142135623730951,1.4142135623730951,0.7071067811865476,10.606601717798213,0.7071067811865476,0.0,562.8569978244918,0.7071067811865476,0.7071067811865476,0.0,3.5355339059327378,7.0,0.0,10.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1951.0,7.0,8.0,0.0,9.0,,,,,,,,,,,,,,,,,,6.0,0.0,5.0,3.0,1.0,2.0,0.0,0.0,0.0,-14.0,1.0,1.0,1155.0,6.0,7.0,0.0,4.0,6.5,0.0,7.5,3.5,2.0,2.5,1.0,1.0,0.5,-6.5,1.5,1.0,1553.0,6.5,7.5,0.0,6.5,10.0,2.0,19
20,Xavier Henry,2,0.7246501394883965,4.0,0.0,10.0,1.0,1.0,6.0,2.0,6.0,6.0,1.0,8.0,0.0,0.0,1308.0,4.0,10.0,1.0,5.0,2.8284271247461903,0.0,7.0710678118654755,0.7071067811865476,0.7071067811865476,0.0,1.4142135623730951,4.242640687119285,4.242640687119285,0.7071067811865476,5.656854249492381,0.0,0.0,924.8956697920041,2.8284271247461903,7.0710678118654755,0.7071067811865476,3.5355339059327378,4.0,0.0,10.0,1.0,1.0,2.0,6.0,6.0,1.0,8.0,0.0,0.0,1308.0,4.0,10.0,1.0,5.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.5,0.5,1.0,3.0,3.0,0.5,4.0,0.0,0.0,654.0,2.0,5.0,0.5,2.5,10.0,2.0,20
21,Robert Sacre,2,0.6068397169232181,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,788.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,4.949747468305833,0.0,0.0,557.2001435749994,0.0,0.0,0.0,2.8284271247461903,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,788.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,3.5,0.0,0.0,394.0,0.0,0.0,0.0,2.0,10.0,2.0,21
22,Ryan Kelly,2,0.08797457425290178,7.0,2.0,4.0,1.0,0.0,6.0,4.0,3.0,4.0,0.0,-1.0,0.0,0.0,2262.0,5.0,11.0,2.0,10.0,3.5355339059327378,0.0,1.4142135623730951,0.7071067811865476,0.0,0.0,1.4142135623730951,0.7071067811865476,0.0,0.0,7.7781745930520225,0.0,0.0,32.526911934581186,3.5355339059327378,3.5355339059327378,1.4142135623730951,2.8284271247461903,6.0,1.0,3.0,1.0,0.0,3.0,2.0,2.0,0.0,5.0,0.0,0.0,1154.0,5.0,8.0,2.0,7.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,-6.0,0.0,0.0,1108.0,0.0,3.0,0.0,3.0,3.5,1.0,2.0,0.5,0.0,2.0,1.5,2.0,0.0,-0.5,0.0,0.0,1131.0,2.5,5.5,1.0,5.0,10.0,2.0,22
23,Nick Young,2,0.966496535765501,14.0,5.0,4.0,6.0,1.0,6.0,5.0,4.0,6.0,0.0,19.0,0.0,1.0,2890.0,9.0,15.0,4.0,14.0,2.8284271247461903,2.1213203435596424,0.0,0.0,0.7071067811865476,0.0,0.7071067811865476,0.0,1.4142135623730951,0.0,2.1213203435596424,0.0,0.7071067811865476,335.1686142824235,0.7071067811865476,2.1213203435596424,0.0,1.4142135623730951,9.0,4.0,2.0,3.0,1.0,3.0,2.0,4.0,0.0,11.0,0.0,1.0,1682.0,5.0,9.0,2.0,8.0,,,,,,,,,,,,,,,,,,5.0,1.0,2.0,3.0,0.0,2.0,2.0,2.0,0.0,8.0,0.0,0.0,1208.0,4.0,6.0,2.0,6.0,7.0,2.5,2.0,3.0,0.5,2.5,2.0,3.0,0.0,9.5,0.0,0.5,1445.0,4.5,7.5,2.0,7.0,10.0,2.0,23
24,Marshon Brooks,2,0.9170658554358766,6.0,4.0,2.0,3.0,2.0,6.0,21.0,5.0,6.0,2.0,-11.0,3.0,0.0,3768.0,2.0,57.0,0.0,43.0,1.4142135623730951,0.0,0.0,2.1213203435596424,0.0,0.0,6.363961030678928,2.1213203435596424,2.8284271247461903,0.0,12.020815280171307,0.7071067811865476,0.0,123.03657992645927,1.4142135623730951,16.263455967290593,0.0,6.363961030678928,4.0,2.0,1.0,3.0,1.0,15.0,4.0,5.0,1.0,3.0,2.0,0.0,1971.0,2.0,40.0,0.0,26.0,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,0.0,1.0,6.0,1.0,1.0,1.0,-14.0,1.0,0.0,1797.0,0.0,17.0,0.0,17.0,3.0,2.0,1.0,1.5,1.0,10.5,2.5,3.0,1.0,-5.5,1.5,0.0,1884.0,1.0,28.5,0.0,21.5,10.0,2.0,24
25,Jordan Hill,2,0.5109689153479211,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,-5.0,1.0,0.0,394.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.7071067811865476,3.5355339059327378,0.7071067811865476,0.0,278.6000717874997,0.0,2.1213203435596424,0.0,2.1213203435596424,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,394.0,0.0,3.0,0.0,3.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,-2.5,0.5,0.0,197.0,0.0,1.5,0.0,1.5,10.0,2.0,25
26,Wesley Johnson,2,0.4252104716468862,15.0,6.0,0.0,6.0,1.0,6.0,5.0,8.0,10.0,1.0,1.0,0.0,1.0,1726.0,9.0,18.0,4.0,15.0,10.606601717798213,4.242640687119285,0.0,4.242640687119285,0.7071067811865476,0.0,3.5355339059327378,5.656854249492381,7.0710678118654755,0.7071067811865476,0.7071067811865476,0.0,0.7071067811865476,1220.466304327981,6.363961030678928,12.727922061357855,2.8284271247461903,10.606601717798213,15.0,6.0,0.0,6.0,1.0,5.0,8.0,10.0,1.0,1.0,0.0,1.0,1726.0,9.0,18.0,4.0,15.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,3.0,0.0,3.0,0.5,2.5,4.0,5.0,0.5,0.5,0.0,0.5,863.0,4.5,9.0,2.0,7.5,10.0,2.0,26
27,Andre Iguodala,2,0.2554125636961396,12.0,2.0,3.0,1.0,1.0,6.0,3.0,0.0,0.0,0.0,-9.0,1.0,0.0,1674.0,10.0,8.0,0.0,6.0,8.48528137423857,1.4142135623730951,2.1213203435596424,0.7071067811865476,0.7071067811865476,0.0,2.1213203435596424,0.0,0.0,0.0,6.363961030678928,0.7071067811865476,0.0,1183.6967517062806,7.0710678118654755,5.656854249492381,0.0,4.242640687119285,12.0,2.0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1674.0,10.0,8.0,0.0,6.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.5,0.5,0.5,1.5,0.0,0.0,0.0,-4.5,0.5,0.0,837.0,5.0,4.0,0.0,3.0,10.0,2.0,27
